Delbarton CE,vs,Durham HH,Emory 2024,Semis,https://www.youtube.com/watch?v=CYwEwphvVbY,Section 230
,,,,,,
Strake GZ,vs,Durham HH,Blue Key 2023,Semis,https://www.youtube.com/watch?v=A9x5XQyJHM0,Student Loans
,,,,,,
North Broward SA,vs,Hamilton NS,NSD 2023,Dubs,https://youtu.be/CNNzL_6h5UM,Arctic Presence
JR Masterman AC,vs,Strake GZ,NSD 2023,R5,https://youtu.be/OnDL_bIDEqg,Arctic Presence
,,,,,,
Jasper LK,vs,Strake DY,NSDA 2023,R11,https://youtu.be/4gZgainM5ko?list=LL,Ranked Choice Voting
,,,,,,
Blake TP,vs,Seven Lakes LM,TOC 2023,Octos,https://www.youtube.com/watch?v=H1kbPSleSWg,Biometrics
,,,,,,
LC Anderson BC,vs,Strake DY,TFA State 2023,Finals,https://youtu.be/ljIHnYWZSek,Artemis Accords
Seven Lakes ML,vs,LC Anderson BC,TFA State 2023,Semis,https://www.youtube.com/watch?v=_esVGwN1svk,Artemis Accords
Strake DY,vs,Westlake KP,TFA State 2023,Octos,https://youtu.be/rsqyIUdbH6g,Artemis Accords
,,,,,,
Del Norte AH,vs,MSJ VP,Nano Nagle RR 2022,R6,https://www.youtube.com/watch?v=n2eVm0YP4sk,HSR
,,,,,,
Seven Lakes ML,vs,Delbarton CE,Blake 2022,Finals,https://www.youtube.com/watch?v=iRT2sewcemg,West Asia Diplomacy
,,,,,,
Outreach CG,vs,Outreach BC,Outreach Winter Camp 2022,Demo,https://youtu.be/msqi2-7ZBDs,West Asia Diplomacy
,,,,,,
American Heritage CR,vs,Seven Lakes KM,UT 2022,Octos,https://www.youtube.com/watch?v=ksa_6Vfgbrw,Great Power Competition
,,,,,,
Brentwood HM,vs,Edina JS,Ivy Street RR 2022,Finals,https://youtu.be/O1SYlrTUhPw,Legalize all drugs
Blake TW,vs,Edina JS,Ivy Street RR 2022,,https://youtu.be/9R3LtNY6Kyw,Legalize all drugs
Brentwood HM,vs,Flintridge Prep VZ,Ivy Street RR 2022,,https://youtu.be/8OFcT-hgtuc,Legalize all drugs
